Seed,Initial_Density,Final_Step_Count,Final_Density,Reason
6,66,1911,0.0354, stagnated 
7,66,893,0.0286, stagnated 
8,66,1259,0.0282, stagnated 
9,66,1403,0.0277, stagnated 
10,66,527,0.0288, stagnated 
1,67,938,0.0267, stagnated 
2,67,478,0.028, stagnated 
3,67,1521,0.0224, stagnated 
4,67,561,0.037, stagnated 
5,67,1926,0.0295, stagnated 
6,67,562,0.0245, stagnated 
7,67,644,0.0309, stagnated 
8,67,952,0.0302, stagnated 
9,67,1091,0.0269, stagnated 
10,67,2172,0.0268, stagnated 
1,68,1382,0.0304, stagnated 
2,68,1403,0.0255, stagnated 
3,68,909,0.0318, stagnated 
4,68,296,0.0299, stagnated 
5,68,674,0.0241, stagnated 
6,68,1131,0.0349, stagnated 
7,68,491,0.0312, stagnated 
8,68,725,0.0205, stagnated 
9,68,502,0.0332, stagnated 
10,68,1051,0.0286, stagnated 
1,69,626,0.0238, stagnated 
2,69,1189,0.0283, stagnated 
3,69,1164,0.0289, stagnated 
4,69,1278,0.0279, stagnated 
5,69,659,0.0205, stagnated 
6,69,685,0.029, stagnated 
7,69,2209,0.0264, stagnated 
8,69,936,0.0243, stagnated 
9,69,700,0.0277, stagnated 
10,69,1069,0.0214, stagnated 
1,70,564,0.0281, stagnated 
2,70,1325,0.0244, stagnated 
3,70,808,0.0296, stagnated 
4,70,1589,0.0288, stagnated 
5,70,741,0.0235, stagnated 
6,70,222,0.0147, stagnated 
7,70,650,0.0301, stagnated 
8,70,1609,0.0252, stagnated 
9,70,716,0.0369, stagnated 
10,70,188,0.0206, stagnated 
1,71,829,0.0259, stagnated 
2,71,262,0.0195, stagnated 
3,71,1015,0.0243, stagnated 
4,71,2820,0.0346, stagnated 
5,71,750,0.022, stagnated 
6,71,53,0.017, stagnated 
7,71,517,0.0222, stagnated 
8,71,297,0.0222, stagnated 
9,71,722,0.0244, stagnated 
10,71,145,0.019, stagnated 
1,72,1806,0.0279, stagnated 
2,72,618,0.0153, stagnated 
3,72,2020,0.0241, stagnated 
4,72,1916,0.0266, stagnated 
5,72,863,0.0231, stagnated 
6,72,94,0.0176, stagnated 
7,72,326,0.0201, stagnated 
8,72,222,0.0169, stagnated 
9,72,254,0.0225, stagnated 
10,72,480,0.0135, stagnated 
1,73,2112,0.0277, stagnated 
2,73,373,0.015, stagnated 
3,73,412,0.0126, stagnated 
4,73,159,0.0174, stagnated 
5,73,1096,0.0182, stagnated 
6,73,94,0.0149, stagnated 
7,73,1188,0.02, stagnated 
8,73,577,0.0175, stagnated 
9,73,254,0.0199, stagnated 
10,73,444,0.0132, stagnated 
1,74,581,0.0321, stagnated 
2,74,611,0.0176, stagnated 
3,74,121,0.0127, stagnated 
4,74,688,0.0219, stagnated 
5,74,533,0.0153, stagnated 
6,74,1778,0.0252, stagnated 
7,74,258,0.0176, stagnated 
8,74,267,0.0146, stagnated 
9,74,254,0.018, stagnated 
10,74,135,0.008, stagnated 
1,75,1973,0.0271, stagnated 
2,75,180,0.009, stagnated 
3,75,121,0.0113, stagnated 
4,75,1240,0.0212, stagnated 
5,75,173,0.0102, stagnated 
6,75,49,0.0121, stagnated 
7,75,251,0.0191, stagnated 
8,75,861,0.0199, stagnated 
9,75,685,0.0131, stagnated 
10,75,135,0.0069, stagnated 
1,76,1730,0.0186, stagnated 
2,76,29,0.0054, stagnated 
3,76,124,0.0107, stagnated 
4,76,37,0.0087, stagnated 
5,76,77,0.0062, stagnated 
6,76,49,0.0103, stagnated 
7,76,17,0.0087, stagnated 
8,76,919,0.0233, stagnated 
9,76,611,0.0133, stagnated 
10,76,1068,0.0183, stagnated 
1,77,600,0.01, stagnated 
2,77,28,0.0044, stagnated 
3,77,129,0.0106, stagnated 
4,77,14,0.008, stagnated 
5,77,240,0.0089, stagnated 
6,77,685,0.0122, stagnated 
7,77,42,0.0058, stagnated 
8,77,141,0.007, stagnated 
9,77,644,0.012, stagnated 
10,77,1090,0.0203, stagnated 
1,78,20,0.0045, stagnated 
2,78,28,0.0041, stagnated 
3,78,567,0.0064, stagnated 
4,78,14,0.0056, stagnated 
5,78,240,0.0079, stagnated 
6,78,78,0.0042, stagnated 
7,78,42,0.0058, stagnated 
8,78,13,0.0064, stagnated 
9,78,893,0.0128, stagnated 
10,78,292,0.0104, stagnated 
1,79,9,0.0046, stagnated 
2,79,32,0.0049, stagnated 
3,79,567,0.0053, stagnated 
4,79,8,0.0018, stagnated 
5,79,8,0.0026, stagnated 
6,79,7,0.004, stagnated 
7,79,42,0.0059, stagnated 
8,79,13,0.0049, stagnated 
9,79,23,0.0066, stagnated 
10,79,292,0.0079, stagnated 
1,80,8,0.0038, stagnated 
2,80,11,0.0036, stagnated 
3,80,639,0.0044, stagnated 
4,80,61,0.003, stagnated 
5,80,8,0.0014, stagnated 
6,80,7,0.003, stagnated 
7,80,42,0.0061, stagnated 
8,80,41,0.0052, stagnated 
9,80,23,0.0049, stagnated 
10,80,10,0.0032, stagnated 
